User ID;Rank;Skipper;Team;Points
5fa7d076a73ee05018331f73;6515;MomoBZH56; ;51549
5fd3d9c206999515a30020d9;6516;Big John; ;51548
5fa7ca4fa73ee0501869f9f9;6517;lololims;Les lims;51547
59c5d8a5b395b292ed628565;6518;Al_Abordage;Coolapics;51547
63d2caeb514469774d502fc0;6519;Bolhasss; ;51546
59cd3802b395b292ed62f628;6520;Corsário do Sado; ;51545
5fb1898a06999515a3906990;6521;Ber44; ;51542
61a793d62a05eec971dc5145;6522;Rokemi;NDMeslay;51541
59cfcee9b395b292ed63314b;6523;Coolintheworld; ;51541
59cfdf31b395b292ed63332b;6524;grabuge 3; ;51540
59d3568eb395b292ed63cfea;6525;JKOP II; ;51540
600d751f24ee4920015946c6;6526;EvaMiguel02;Picardie Race Team;51532
59c357fab395b292ed624217;6527;tou'ptitou; ;51532
59cdfc00b395b292ed6300f1;6528;BLOM; ;51531
59c56466b395b292ed627ba0;6529;xouh; ;51531
605596b3d7d77a6aa4fbe040;6530;Hurricane17; ;51530
59ff0c01ec355084ecddef6b;6531;LSD47;tridentsailers;51530
63d901539c67d44089873e3d;6532;TLM2027;•YACHT CLUB ITALIA•;51528
59d488b7b395b292ed63f760;6533;mbyvqr; ;51528
59fc9488e0750e372d6887ea;6534;nelsonthecat; ;51526
59c281e9b395b292ed622fc9;6535;agmelo; ;51526
63a766589f3a8969d6cafa3b;6536;Arie66; ;51525
5ea5af95080c8cbd451e10ca;6537;Emmenez moi;Brest meme a crach aussi;51524
5dab7cec6f64cfd4344b9a5d;6538;Rita_Sofia; ;51523
59ca4735b395b292ed62c5cd;6539;Keyser1986;GARD 30 TEAM ;51521
5fa84fd2a73ee05018999adf;6540;La fretille; ;51520
5e7ba216080c8cbd450e26de;6541;JLNA; ;51519
59ccd1eeb395b292ed62ed04;6542;Sea The Stars;TBM- Les Bretons & La Mer;51517
59d12c0db395b292ed6377df;6543;laurent du morvan; ;51516
59cbbed7b395b292ed62db4b;6544;Les Verts 42;VERTS 42 & Cie;51516
5fbbb88306999515a3e6b7fc;6545;LuxBen;Marins des mers du Sud;51516
59c525c4b395b292ed627018;6546;ticoeur85;les sables d'olonne;51516
5d5912616f64cfd4342c224c;6547;blakstorm; ;51512
5ea717c3080c8cbd451eac7c;6548;iago99; ;51510
5b4af8f6517022fc09cf4f51;6549;uskaninou;Breizh team 29;51506
6164436e2a05eec971b96ea3;6550;Cers; ;51505
59cfd83cb395b292ed63326e;6551;argoelini;Les Romuliens;51503
5fa7e39fa73ee050189a5570;6552;Viromain - TORC / YWCN;TORC YesWeCanNette;51502
618774782a05eec9717df7de;6553;LC Téviek;Loudeac;51502
5fa1b3e1a73ee05018125b6b;6554;LUCANNLOR; ;51502
5fad76fca73ee05018d5ab25;6555;kikita44; ;51502
59c25f9fb395b292ed622b9a;6556;PtitPierre / INC-BUREAU VALLEE;INC - Bureau Vallée;51501
62d1790b8c6fa646182f3372;6557;Bernard41300; ;51501
5faa3690a73ee0501877c19a;6558;#Zizou; ;51499
5bf000e3517022fc09e9bbad;6559;wilboi;LES COPAINS D'ABORD;51497
59cfe32cb395b292ed633396;6560;ludlum; ;51497
59ece508e0750e372d65b429;6561;LPC5boat; ;51496
59d7df5eb395b292ed645165;6562;hajasaude; ;51494
59ce06bbb395b292ed6302ff;6563;lucky luke1;virtual fireball;51494
5bde9137517022fc09d5efe2;6564;bac; ;51492
5bd89426517022fc09d3784b;6565;pizza06; ;51492
5a0e77407b296eaadfc385e4;6566;mau2_00; ;51490
5dc127eb98b1b8ca59424609;6567;Doume987; ;51489
5fe09b8e24ee49200193f82b;6568;TARA-44; ;51481
59fedb5ce0750e372d6954c6;6569;claude1939; ;51478
5faaad0ea73ee050186df600;6570;Elpadre30 LPO-ESF2;LE PHARE OUEST-ESF2;51477
635d4db0e240e832ce6f096d;6571;LE CLAMPIN;Doako Euskal Ontziak;51475
5f9fb362a73ee05018825c55;6572;Dronalys;G V D;51473
604e29ccd7d77a6aa47b5907;6573;N.e.Sagres;Sagres;51471
59d50c67b395b292ed6410be;6574;greg29410 - TPX;Team PhoeniX;51470
5a60c25a7b296eaadfca8722;6575;Hadda - PDTY;Pen Duick - TABARLY YACHT;51467
610fc6562a05eec971e64bcf;6576;Wizzard45;NC Pont Ledour;51467
59ef8641e0750e372d66a9f5;6577;devent  pat;LSM BREIZH;51464
59cdfb1fb395b292ed6300c5;6578;daghefra;marins marrants;51464
60b4c37437e7cb7ea80aaf83;6579;cia256; ;51464
5fad7cf1a73ee05018cf83bd;6580;l'arsin;Fun&Sail;51462
5bdd9729517022fc09d53b51;6581;Kannad; ;51454
59cfeaaeb395b292ed633478;6582;Jeff_Bzh29; ;51453
6188d0f82a05eec9719d98c4;6583;RoroDanette; ;51449
5b12c353517022fc09cdb221;6584;JLA47; ;51448
59cbf30cb395b292ed62e1ae;6585;aintaya; ;51447
5fa9a779a73ee05018e93ecd;6586;Pep T57M;Team 57 Moselle - T57M;51447
5fdb472024ee492001cf9578;6587;Dam's0013; ;51446
636baa7adafe6082080cf135;6588;grolandaisedeseaux; ;51443
636ba7e760272948af852a2f;6589;captain lormeau;pirates drinking crew;51443
59c570c8b395b292ed627e17;6590;alcyon;LES COPAINS D'ABORD;51442
5bde07da517022fc09d5bc8a;6591;drylan85_AVR;Alliance TPN / AVR;51442
5bec78e3517022fc09e6d1f2;6592;Bob43; ;51442
59daa0c3e7821e295491d87e;6593;tymilou56; ;51439
59e52068e0750e372d64289d;6594;seb67500; ;51435
